t,f1,pq,pc,f1s,pr,re,f1_
0.0,0.017381114140152882,0.0044163557450696,0.935483870967742,0.0087912087912087,0.037600927427411016,0.01234271302819248,0.01821827385462372
0.002,0.01955855339765544,0.0044163557450696,0.935483870967742,0.0087912087912087,0.0324155699461698,0.012777767516672539,0.018149884079264
0.07,0.0214734030887484,0.0044163557450696,0.935483870967742,0.0087912087912087,0.03863665647804732,0.012508994154632039,0.01868513178868658
0.3,0.019833371043205223,0.0044778950899569,0.932258064516129,0.00891297262382686,0.037066023796796736,0.012937975861132081,0.01879740558596486
0.6,0.018065979331731742,0.005236639925206,0.8290322580645162,0.010407237971416,0.03759525120258326,0.01558236517012116,0.021657490030866623
0.81,0.035788370668888056,0.00612674179569306,0.6612903225806452,0.01214043737376272,0.03438722230494016,0.02190686687827106,0.02585822165098916
0.92,0.0294875498861074,0.007779234690242521,0.4129032258064516,0.015265458896089861,0.03109565377235406,0.03609604761004442,0.030800184966130278
0.97,0.05430101044476028,0.0099059356316351,0.2741935483870968,0.01891840238232708,0.0309807069599628,0.0492941193282604,0.037651081856548564
0.99,0.04232323393225668,0.01563493713571584,0.12903225806451607,0.02682502749486902,0.04453089088201518,0.06719576790928838,0.04314344449287024
0.998,0.05,0.015148408225764002,0.06774193548387092,0.0227880880404066,0.042002748325467035,0.02904202342033384,0.029351612091114997
